Pilsēta,Viesnīca,Viesnīcas veids,Cena (EUR/nakti),Booking
Bangkok,Riva Surya Bangkok,4-star boutique,70-90,booking.com | agoda.com
Bangkok,Lub d Bangkok Siam,Budget,40-50,agoda.com | hostels.com
Chiang Mai,De Chai The Colonial Hotel,3-star,60-70,booking.com | agoda.com
Chiang Mai,Deejai Backpackers,Budget,30-40,hostels.com | agoda.com
Chiang Rai,Mantrini Boutique Resort,3-star,50-60,booking.com | agoda.com
Chiang Rai,Jungle lodge (Chiang Rai),Jungle resort,40-60,booking.com | airbnb.com
Krabi,Ao Nang Princeville,4-star,80-120,booking.com | agoda.com
Krabi,Ao Nang Villa Resort,3-star resort,60-80,airbnb.com | booking.com
Khao Sok,Our Jungle House (Khao Sok),Treehouse,70-100,khaosokaccommodation.com | booking.com
Phi Phi,Phi Phi Natural Resort,4-star beachfront,70-100,booking.com | agoda.com
Koh Samui,Centara Reserve Samui,4-star resort,100-150,booking.com | agoda.com
Koh Samui,Marina Beach Resort,3-star beach,60-90,booking.com | airbnb.com
