Maršruts,Veids,Laiks,Cena/pers
Rīga → Bangkok (round-trip),International flight,9-11h,500-700 EUR
Bangkok → Chiang Mai,Domestic flight,1h 20m,30-60 EUR
Chiang Mai → Chiang Rai,Bus/minivan,3-4h,7-10 EUR
Chiang Rai → Bangkok,Domestic flight,2h 15m,50-80 EUR
Bangkok → Krabi,Domestic flight,1h 25m,30-70 EUR
Krabi ↔ Khao Sok (2x),Minivan shuttle,2.5h per way,15-30 EUR
Krabi → Phi Phi,Ferry,1.5h,15-20 EUR
Phi Phi → Phuket,Ferry,1.5h,15-20 EUR
Phuket → Koh Samui,Domestic flight,1h,40-80 EUR
Koh Samui → Bangkok,Domestic flight,1h 20m,40-80 EUR
